☘️河北省,#genre#
邯郸公共频道,http://60.4.30.177:8077/rtp/239.253.93.12:6165$河北联通
邯郸公共频道,http://121.29.215.105:2083/rtp/239.253.93.12:6165$河北联通
邯郸科技教育,http://60.4.30.177:8077/rtp/239.253.93.13:6166$河北联通
邯郸科技教育,http://121.29.215.105:2083/rtp/239.253.93.13:6166$河北联通
高邑融媒,http://60.4.30.177:8077/rtp/239.253.92.160:6041$河北联通
高邑融媒,http://121.29.215.105:2083/rtp/239.253.92.160:6041$河北联通
井陉矿区电视台,http://60.4.30.177:8077/rtp/239.253.92.215:6067$河北联通
井陉矿区电视台,http://121.29.215.105:2083/rtp/239.253.92.215:6067$河北联通
深泽综合频道,http://60.4.30.177:8077/rtp/239.253.94.31:6630$河北联通
深泽综合频道,http://121.29.215.105:2083/rtp/239.253.94.31:6630$河北联通
晋州综合频道,http://60.4.30.177:8077/rtp/239.253.93.156:6324$河北联通
晋州综合频道,http://121.29.215.105:2083/rtp/239.253.93.156:6324$河北联通
井陉综合频道,http://60.4.30.177:8077/rtp/239.253.93.205:6383$河北联通
井陉综合频道,http://121.29.215.105:2083/rtp/239.253.93.205:6383$河北联通
平泉综合频道,http://60.4.30.177:8077/rtp/239.253.92.156:6012$河北联通
平泉综合频道,http://121.29.215.105:2083/rtp/239.253.92.156:6012$河北联通
兴隆综合频道,http://60.4.30.177:8077/rtp/239.253.93.104:6271$河北联通
兴隆综合频道,http://121.29.215.105:2083/rtp/239.253.93.104:6271$河北联通
隆化综合频道,http://60.4.30.177:8077/rtp/239.253.93.174:6342$河北联通
隆化综合频道,http://121.29.215.105:2083/rtp/239.253.93.174:6342$河北联通
康保综合频道,http://60.4.30.177:8077/rtp/239.253.93.165:6333$河北联通
康保综合频道,http://121.29.215.105:2083/rtp/239.253.93.165:6333$河北联通
遵化综合频道,http://60.4.30.177:8077/rtp/239.253.93.177:6345$河北联通
遵化综合频道,http://121.29.215.105:2083/rtp/239.253.93.177:6345$河北联通
滦南综合频道,http://60.4.30.177:8077/rtp/239.253.92.218:6100$河北联通
滦南综合频道,http://121.29.215.105:2083/rtp/239.253.92.218:6100$河北联通
玉田综合频道,http://60.4.30.177:8077/rtp/239.253.92.118:6133$河北联通
玉田综合频道,http://121.29.215.105:2083/rtp/239.253.92.118:6133$河北联通
大厂融媒体中心,http://60.4.30.177:8077/rtp/239.253.92.253:6244$河北联通
大厂融媒体中心,http://121.29.215.105:2083/rtp/239.253.92.253:6244$河北联通
三河综合频道,http://60.4.30.177:8077/rtp/239.253.93.143:6311$河北联通
三河综合频道,http://121.29.215.105:2083/rtp/239.253.93.143:6311$河北联通
成安综合频道,http://60.4.30.177:8077/rtp/239.253.93.178:6346$河北联通
成安综合频道,http://121.29.215.105:2083/rtp/239.253.93.178:6346$河北联通
魏县综合新闻,http://60.4.30.177:8077/rtp/239.253.93.185:6353$河北联通
魏县综合新闻,http://121.29.215.105:2083/rtp/239.253.93.185:6353$河北联通
黄骅电视台,http://60.4.30.177:8077/rtp/239.253.92.183:6047$河北联通
黄骅电视台,http://121.29.215.105:2083/rtp/239.253.92.183:6047$河北联通
吴桥综合频道,http://60.4.30.177:8077/rtp/239.253.93.169:6337$河北联通
吴桥综合频道,http://121.29.215.105:2083/rtp/239.253.93.169:6337$河北联通
阜平电视台,http://60.4.30.177:8077/rtp/239.253.93.16:6169$河北联通
阜平电视台,http://121.29.215.105:2083/rtp/239.253.93.16:6169$河北联通
涞水综合频道,http://60.4.30.177:8077/rtp/239.253.93.17:6170$河北联通
涞水综合频道,http://121.29.215.105:2083/rtp/239.253.93.17:6170$河北联通
涞源综合频道,http://60.4.30.177:8077/rtp/239.253.93.22:6175$河北联通
涞源综合频道,http://121.29.215.105:2083/rtp/239.253.93.22:6175$河北联通
高碑店综合频道,http://60.4.30.177:8077/rtp/239.253.93.23:6176$河北联通
高碑店综合频道,http://121.29.215.105:2083/rtp/239.253.93.23:6176$河北联通
唐县综合频道,http://60.4.30.177:8077/rtp/239.253.93.30:6183$河北联通
唐县综合频道,http://121.29.215.105:2083/rtp/239.253.93.30:6183$河北联通
柏乡综合频道,http://60.4.30.177:8077/rtp/239.253.93.171:6339$河北联通
柏乡综合频道,http://121.29.215.105:2083/rtp/239.253.93.171:6339$河北联通
徐水电视台,http://60.4.30.177:8077/rtp/239.253.93.182:6350$河北联通
徐水电视台,http://121.29.215.105:2083/rtp/239.253.93.182:6350$河北联通
景县综合频道,http://60.4.30.177:8077/rtp/239.253.93.38:6191$河北联通
景县综合频道,http://121.29.215.105:2083/rtp/239.253.93.38:6191$河北联通
饶阳电视台,http://60.4.30.177:8077/rtp/239.253.93.40:6193$河北联通
饶阳电视台,http://121.29.215.105:2083/rtp/239.253.93.40:6193$河北联通
故城电视台,http://60.4.30.177:8077/rtp/239.253.93.161:6329$河北联通
故城电视台,http://121.29.215.105:2083/rtp/239.253.93.161:6329$河北联通
枣强综合频道,http://60.4.30.177:8077/rtp/239.253.93.166:6334$河北联通
枣强综合频道,http://121.29.215.105:2083/rtp/239.253.93.166:6334$河北联通
清河电视台,http://60.4.30.177:8077/rtp/239.253.93.44:6197$河北联通
清河电视台,http://121.29.215.105:2083/rtp/239.253.93.44:6197$河北联通
内丘电视台,http://60.4.30.177:8077/rtp/239.253.93.102:6268$河北联通
内丘电视台,http://121.29.215.105:2083/rtp/239.253.93.102:6268$河北联通
羽毛球专区,http://60.4.30.177:8077/rtp/239.253.93.202:6380$河北联通
羽毛球专区,http://121.29.215.105:2083/rtp/239.253.93.202:6380$河北联通
沧州影视娱乐,http://60.4.30.177:8077/rtp/239.253.92.123:6017$河北联通
沧州影视娱乐,http://121.29.215.105:2083/rtp/239.253.92.123:6017$河北联通
栾城电视,http://60.4.30.177:8077/rtp/239.253.92.187:6051$河北联通
栾城电视,http://121.29.215.105:2083/rtp/239.253.92.187:6051$河北联通
滦平电视,http://60.4.30.177:8077/rtp/239.253.92.100:6142$河北联通
滦平电视,http://121.29.215.105:2083/rtp/239.253.92.100:6142$河北联通
双滦电视,http://60.4.30.177:8077/rtp/239.253.92.147:6224$河北联通
双滦电视,http://121.29.215.105:2083/rtp/239.253.92.147:6224$河北联通
赞皇电视,http://60.4.30.177:8077/rtp/239.253.92.12:6042$河北联通
赞皇电视,http://121.29.215.105:2083/rtp/239.253.92.12:6042$河北联通
邯山电视,http://60.4.30.177:8077/rtp/239.253.93.146:6314$河北联通
邯山电视,http://121.29.215.105:2083/rtp/239.253.93.146:6314$河北联通
顺平电视,http://60.4.30.177:8077/rtp/239.253.93.148:6316$河北联通
顺平电视,http://121.29.215.105:2083/rtp/239.253.93.148:6316$河北联通
赤城电视,http://60.4.30.177:8077/rtp/239.253.93.160:6328$河北联通
赤城电视,http://121.29.215.105:2083/rtp/239.253.93.160:6328$河北联通
昌黎电视,http://60.4.30.177:8077/rtp/239.253.92.109:6217$河北联通
昌黎电视,http://121.29.215.105:2083/rtp/239.253.92.109:6217$河北联通
抚宁电视,http://60.4.30.177:8077/rtp/239.253.93.201:6379$河北联通
抚宁电视,http://121.29.215.105:2083/rtp/239.253.93.201:6379$河北联通
卢龙电视,http://60.4.30.177:8077/rtp/239.253.93.206:6384$河北联通
卢龙电视,http://121.29.215.105:2083/rtp/239.253.93.206:6384$河北联通
丰南电视,http://60.4.30.177:8077/rtp/239.253.92.231:6070$河北联通
丰南电视,http://121.29.215.105:2083/rtp/239.253.92.231:6070$河北联通
迁西电视,http://60.4.30.177:8077/rtp/239.253.92.247:6091$河北联通
迁西电视,http://121.29.215.105:2083/rtp/239.253.92.247:6091$河北联通
滦州电视,http://60.4.30.177:8077/rtp/239.253.92.97:6138$河北联通
滦州电视,http://121.29.215.105:2083/rtp/239.253.92.97:6138$河北联通
大城电视,http://60.4.30.177:8077/rtp/239.253.92.230:6068$河北联通
大城电视,http://121.29.215.105:2083/rtp/239.253.92.230:6068$河北联通
固安电视,http://60.4.30.177:8077/rtp/239.253.93.109:6276$河北联通
固安电视,http://121.29.215.105:2083/rtp/239.253.93.109:6276$河北联通
东光电视,http://60.4.30.177:8077/rtp/239.253.93.96:6262$河北联通
东光电视,http://121.29.215.105:2083/rtp/239.253.93.96:6262$河北联通
青县电视,http://60.4.30.177:8077/rtp/239.253.93.139:6307$河北联通
青县电视,http://121.29.215.105:2083/rtp/239.253.93.139:6307$河北联通
盐山电视,http://60.4.30.177:8077/rtp/239.253.93.144:6312$河北联通
盐山电视,http://121.29.215.105:2083/rtp/239.253.93.144:6312$河北联通
南皮电视,http://60.4.30.177:8077/rtp/239.253.93.149:6317$河北联通
南皮电视,http://121.29.215.105:2083/rtp/239.253.93.149:6317$河北联通
肃宁电视,http://60.4.30.177:8077/rtp/239.253.93.152:6320$河北联通
肃宁电视,http://121.29.215.105:2083/rtp/239.253.93.152:6320$河北联通
定兴电视,http://60.4.30.177:8077/rtp/239.253.93.14:6167$河北联通
定兴电视,http://121.29.215.105:2083/rtp/239.253.93.14:6167$河北联通
满城电视,http://60.4.30.177:8077/rtp/239.253.93.19:6172$河北联通
满城电视,http://121.29.215.105:2083/rtp/239.253.93.19:6172$河北联通
望都电视,http://60.4.30.177:8077/rtp/239.253.93.32:6185$河北联通
望都电视,http://121.29.215.105:2083/rtp/239.253.93.32:6185$河北联通
高阳电视,http://60.4.30.177:8077/rtp/239.253.93.105:6272$河北联通
高阳电视,http://121.29.215.105:2083/rtp/239.253.93.105:6272$河北联通
安新电视,http://60.4.30.177:8077/rtp/239.253.93.107:6274$河北联通
安新电视,http://121.29.215.105:2083/rtp/239.253.93.107:6274$河北联通
容城电视,http://60.4.30.177:8077/rtp/239.253.93.110:6277$河北联通
容城电视,http://121.29.215.105:2083/rtp/239.253.93.110:6277$河北联通
涿鹿电视,http://60.4.30.177:8077/rtp/239.253.93.181:6349$河北联通
涿鹿电视,http://121.29.215.105:2083/rtp/239.253.93.181:6349$河北联通
大名电视,http://60.4.30.177:8077/rtp/239.253.93.186:6354$河北联通
大名电视,http://121.29.215.105:2083/rtp/239.253.93.186:6354$河北联通
阜城电视,http://60.4.30.177:8077/rtp/239.253.93.168:6336$河北联通
阜城电视,http://121.29.215.105:2083/rtp/239.253.93.168:6336$河北联通
广宗电视,http://60.4.30.177:8077/rtp/239.253.93.50:6203$河北联通
广宗电视,http://121.29.215.105:2083/rtp/239.253.93.50:6203$河北联通
宁晋电视,http://60.4.30.177:8077/rtp/239.253.93.51:6204$河北联通
宁晋电视,http://121.29.215.105:2083/rtp/239.253.93.51:6204$河北联通
平乡电视,http://60.4.30.177:8077/rtp/239.253.93.53:6206$河北联通
平乡电视,http://121.29.215.105:2083/rtp/239.253.93.53:6206$河北联通
隆尧电视,http://60.4.30.177:8077/rtp/239.253.93.65:6230$河北联通
隆尧电视,http://121.29.215.105:2083/rtp/239.253.93.65:6230$河北联通
广平电视,http://60.4.30.177:8077/rtp/239.253.93.66:6231$河北联通
广平电视,http://121.29.215.105:2083/rtp/239.253.93.66:6231$河北联通
南和电视,http://60.4.30.177:8077/rtp/239.253.93.80:6246$河北联通
南和电视,http://121.29.215.105:2083/rtp/239.253.93.80:6246$河北联通
迁安电视,http://60.4.30.177:8077/rtp/239.253.93.113:6280$河北联通
迁安电视,http://121.29.215.105:2083/rtp/239.253.93.113:6280$河北联通
馆陶电视,http://60.4.30.177:8077/rtp/239.253.93.115:6282$河北联通
馆陶电视,http://121.29.215.105:2083/rtp/239.253.93.115:6282$河北联通
乐亭电视,http://60.4.30.177:8077/rtp/239.253.93.250:6290$河北联通
乐亭电视,http://121.29.215.105:2083/rtp/239.253.93.250:6290$河北联通
沙河电视,http://60.4.30.177:8077/rtp/239.253.93.179:6347$河北联通
沙河电视,http://121.29.215.105:2083/rtp/239.253.93.179:6347$河北联通
丰润电视,http://60.4.30.177:8077/rtp/239.253.92.252:6156$河北联通
丰润电视,http://121.29.215.105:2083/rtp/239.253.92.252:6156$河北联通
慢直播1,http://60.4.30.177:8077/rtp/239.253.94.1:6600$河北联通
慢直播1,http://121.29.215.105:2083/rtp/239.253.94.1:6600$河北联通
慢直播2,http://60.4.30.177:8077/rtp/239.253.94.2:6601$河北联通
慢直播2,http://121.29.215.105:2083/rtp/239.253.94.2:6601$河北联通
临时直播,http://60.4.30.177:8077/rtp/239.253.92.116:6029$河北联通
临时直播,http://121.29.215.105:2083/rtp/239.253.92.116:6029$河北联通
卫视频道,#genre#
河北卫视,http://60.4.30.177:8077/rtp/239.253.92.154:6011$河北联通
河北卫视,http://121.29.215.105:2083/rtp/239.253.92.154:6011$河北联通
湖南卫视,http://60.4.30.177:8077/rtp/239.253.92.84:8015$河北联通
湖南卫视,http://121.29.215.105:2083/rtp/239.253.92.84:8015$河北联通
浙江卫视,http://60.4.30.177:8077/rtp/239.253.92.90:8020$河北联通
浙江卫视,http://121.29.215.105:2083/rtp/239.253.92.90:8020$河北联通
江苏卫视,http://60.4.30.177:8077/rtp/239.253.92.88:8018$河北联通
江苏卫视,http://121.29.215.105:2083/rtp/239.253.92.88:8018$河北联通
北京卫视,http://60.4.30.177:8077/rtp/239.253.92.87:8014$河北联通
北京卫视,http://121.29.215.105:2083/rtp/239.253.92.87:8014$河北联通
东南卫视,http://60.4.30.177:8077/rtp/239.253.92.201:6146$河北联通
东南卫视,http://121.29.215.105:2083/rtp/239.253.92.201:6146$河北联通
东方卫视,http://60.4.30.177:8077/rtp/239.253.92.89:8019$河北联通
东方卫视,http://121.29.215.105:2083/rtp/239.253.92.89:8019$河北联通
天津卫视,http://60.4.30.177:8077/rtp/239.253.92.91:8021$河北联通
天津卫视,http://121.29.215.105:2083/rtp/239.253.92.91:8021$河北联通
深圳卫视,http://60.4.30.177:8077/rtp/239.253.92.86:8017$河北联通
深圳卫视,http://121.29.215.105:2083/rtp/239.253.92.86:8017$河北联通
山东卫视,http://60.4.30.177:8077/rtp/239.253.92.207:8109$河北联通
山东卫视,http://121.29.215.105:2083/rtp/239.253.92.207:8109$河北联通
广东卫视,http://60.4.30.177:8077/rtp/239.253.92.206:8108$河北联通
广东卫视,http://121.29.215.105:2083/rtp/239.253.92.206:8108$河北联通
黑龙江卫视,http://60.4.30.177:8077/rtp/239.253.92.85:8016$河北联通
黑龙江卫视,http://121.29.215.105:2083/rtp/239.253.92.85:8016$河北联通
辽宁卫视,http://60.4.30.177:8077/rtp/239.253.92.115:6056$河北联通
辽宁卫视,http://121.29.215.105:2083/rtp/239.253.92.115:6056$河北联通
安徽卫视,http://60.4.30.177:8077/rtp/239.253.92.209:6566$河北联通
安徽卫视,http://121.29.215.105:2083/rtp/239.253.92.209:6566$河北联通
湖北卫视,http://60.4.30.177:8077/rtp/239.253.92.210:6567$河北联通
湖北卫视,http://121.29.215.105:2083/rtp/239.253.92.210:6567$河北联通
四川卫视,http://60.4.30.177:8077/rtp/239.253.92.16:6043$河北联通
四川卫视,http://121.29.215.105:2083/rtp/239.253.92.16:6043$河北联通
重庆卫视,http://60.4.30.177:8077/rtp/239.253.92.10:6053$河北联通
重庆卫视,http://121.29.215.105:2083/rtp/239.253.92.10:6053$河北联通
河南卫视,http://60.4.30.177:8077/rtp/239.253.92.137:6144$河北联通
河南卫视,http://121.29.215.105:2083/rtp/239.253.92.137:6144$河北联通
广西卫视,http://60.4.30.177:8077/rtp/239.253.92.76:8043$河北联通
广西卫视,http://121.29.215.105:2083/rtp/239.253.92.76:8043$河北联通
贵州卫视,http://60.4.30.177:8077/rtp/239.253.92.105:6055$河北联通
贵州卫视,http://121.29.215.105:2083/rtp/239.253.92.105:6055$河北联通
江西卫视,http://60.4.30.177:8077/rtp/239.253.92.19:6145$河北联通
江西卫视,http://121.29.215.105:2083/rtp/239.253.92.19:6145$河北联通
吉林卫视,http://60.4.30.177:8077/rtp/239.253.92.202:6147$河北联通
吉林卫视,http://121.29.215.105:2083/rtp/239.253.92.202:6147$河北联通
海南卫视,http://60.4.30.177:8077/rtp/239.253.93.155:6323$河北联通
海南卫视,http://121.29.215.105:2083/rtp/239.253.93.155:6323$河北联通
北京卫视4K超高清,http://60.4.30.177:8077/rtp/239.253.92.220:6229$河北联通
北京卫视4K超高清,http://121.29.215.105:2083/rtp/239.253.92.220:6229$河北联通
山东教育卫视,http://60.4.30.177:8077/rtp/239.253.92.106:6135$河北联通
山东教育卫视,http://121.29.215.105:2083/rtp/239.253.92.106:6135$河北联通
兵团卫视,http://60.4.30.177:8077/rtp/239.253.93.176:6344$河北联通
兵团卫视,http://121.29.215.105:2083/rtp/239.253.93.176:6344$河北联通
☘️上海市,#genre#
河北都市频道,http://60.4.30.177:8077/rtp/239.253.92.172:6002$河北联通
河北都市频道,http://121.29.215.105:2083/rtp/239.253.92.172:6002$河北联通
石家庄新闻综合,http://60.4.30.177:8077/rtp/239.253.92.149:6035$河北联通
石家庄新闻综合,http://121.29.215.105:2083/rtp/239.253.92.149:6035$河北联通
承德新闻综合,http://60.4.30.177:8077/rtp/239.253.92.222:8112$河北联通
承德新闻综合,http://121.29.215.105:2083/rtp/239.253.92.222:8112$河北联通
秦皇岛新闻综合,http://60.4.30.177:8077/rtp/239.253.92.52:6021$河北联通
秦皇岛新闻综合,http://121.29.215.105:2083/rtp/239.253.92.52:6021$河北联通
唐山新闻综合,http://60.4.30.177:8077/rtp/239.253.92.245:6089$河北联通
唐山新闻综合,http://121.29.215.105:2083/rtp/239.253.92.245:6089$河北联通
廊坊新闻综合,http://60.4.30.177:8077/rtp/239.253.92.164:6036$河北联通
廊坊新闻综合,http://121.29.215.105:2083/rtp/239.253.92.164:6036$河北联通
保定新闻综合,http://60.4.30.177:8077/rtp/239.253.93.2:6153$河北联通
保定新闻综合,http://121.29.215.105:2083/rtp/239.253.93.2:6153$河北联通
衡水新闻综合,http://60.4.30.177:8077/rtp/239.253.93.3:6154$河北联通
衡水新闻综合,http://121.29.215.105:2083/rtp/239.253.93.3:6154$河北联通
邯郸新闻综合,http://60.4.30.177:8077/rtp/239.253.93.11:6164$河北联通
邯郸新闻综合,http://121.29.215.105:2083/rtp/239.253.93.11:6164$河北联通
定州新闻综合,http://60.4.30.177:8077/rtp/239.253.93.95:6260$河北联通
定州新闻综合,http://121.29.215.105:2083/rtp/239.253.93.95:6260$河北联通
深州新闻综合,http://60.4.30.177:8077/rtp/239.253.93.42:6195$河北联通
深州新闻综合,http://121.29.215.105:2083/rtp/239.253.93.42:6195$河北联通
武安新闻综合,http://60.4.30.177:8077/rtp/239.253.93.62:6215$河北联通
武安新闻综合,http://121.29.215.105:2083/rtp/239.253.93.62:6215$河北联通
鸡泽新闻综合,http://60.4.30.177:8077/rtp/239.253.93.64:6219$河北联通
鸡泽新闻综合,http://121.29.215.105:2083/rtp/239.253.93.64:6219$河北联通
涉县新闻综合,http://60.4.30.177:8077/rtp/239.253.93.106:6273$河北联通
涉县新闻综合,http://121.29.215.105:2083/rtp/239.253.93.106:6273$河北联通
沧州新闻综合,http://60.4.30.177:8077/rtp/239.253.92.121:6015$河北联通
沧州新闻综合,http://121.29.215.105:2083/rtp/239.253.92.121:6015$河北联通
央视频道,#genre#
CCTV-1综合,http://60.4.30.177:8077/rtp/239.253.92.83:8012$河北联通
CCTV-1综合,http://121.29.215.105:2083/rtp/239.253.92.83:8012$河北联通
CCTV-2财经,http://60.4.30.177:8077/rtp/239.253.92.190:6065$河北联通
CCTV-2财经,http://121.29.215.105:2083/rtp/239.253.92.190:6065$河北联通
CCTV-3综艺,http://60.4.30.177:8077/rtp/239.253.92.191:6057$河北联通
CCTV-3综艺,http://121.29.215.105:2083/rtp/239.253.92.191:6057$河北联通
CCTV-4中文国际,http://60.4.30.177:8077/rtp/239.253.92.251:6141$河北联通
CCTV-4中文国际,http://121.29.215.105:2083/rtp/239.253.92.251:6141$河北联通
CCTV-5体育,http://60.4.30.177:8077/rtp/239.253.92.181:6046$河北联通
CCTV-5体育,http://121.29.215.105:2083/rtp/239.253.92.181:6046$河北联通
CCTV-6电影,http://60.4.30.177:8077/rtp/239.253.92.193:6058$河北联通
CCTV-6电影,http://121.29.215.105:2083/rtp/239.253.92.193:6058$河北联通
CCTV-7国防军事,http://60.4.30.177:8077/rtp/239.253.92.194:6059$河北联通
CCTV-7国防军事,http://121.29.215.105:2083/rtp/239.253.92.194:6059$河北联通
CCTV-8电视剧,http://60.4.30.177:8077/rtp/239.253.92.195:6060$河北联通
CCTV-8电视剧,http://121.29.215.105:2083/rtp/239.253.92.195:6060$河北联通
CCTV-9纪录,http://60.4.30.177:8077/rtp/239.253.92.107:6020$河北联通
CCTV-9纪录,http://121.29.215.105:2083/rtp/239.253.92.107:6020$河北联通
CCTV-10科教,http://60.4.30.177:8077/rtp/239.253.92.196:6061$河北联通
CCTV-10科教,http://121.29.215.105:2083/rtp/239.253.92.196:6061$河北联通
CCTV-11戏曲,http://60.4.30.177:8077/rtp/239.253.93.153:6321$河北联通
CCTV-11戏曲,http://121.29.215.105:2083/rtp/239.253.93.153:6321$河北联通
CCTV-12社会与法,http://60.4.30.177:8077/rtp/239.253.92.197:6062$河北联通
CCTV-12社会与法,http://121.29.215.105:2083/rtp/239.253.92.197:6062$河北联通
CCTV-13新闻,http://60.4.30.177:8077/rtp/239.253.92.13:8008$河北联通
CCTV-13新闻,http://121.29.215.105:2083/rtp/239.253.92.13:8008$河北联通
CCTV-14少儿,http://60.4.30.177:8077/rtp/239.253.92.198:6063$河北联通
CCTV-14少儿,http://121.29.215.105:2083/rtp/239.253.92.198:6063$河北联通
CCTV-15音乐,http://60.4.30.177:8077/rtp/239.253.93.154:6322$河北联通
CCTV-15音乐,http://121.29.215.105:2083/rtp/239.253.93.154:6322$河北联通
CCTV-17农业农村,http://60.4.30.177:8077/rtp/239.253.93.150:6318$河北联通
CCTV-17农业农村,http://121.29.215.105:2083/rtp/239.253.93.150:6318$河北联通
CCTV-5+体育赛事,http://60.4.30.177:8077/rtp/239.253.92.82:8013$河北联通
CCTV-5+体育赛事,http://121.29.215.105:2083/rtp/239.253.92.82:8013$河北联通
CCTV电视指南,http://60.4.30.177:8077/rtp/239.253.93.249:6427$河北联通
CCTV电视指南,http://121.29.215.105:2083/rtp/239.253.93.249:6427$河北联通
CCTV第一剧场,http://60.4.30.177:8077/rtp/239.253.93.138:6428$河北联通
CCTV第一剧场,http://121.29.215.105:2083/rtp/239.253.93.138:6428$河北联通
CCTV风云剧场,http://60.4.30.177:8077/rtp/239.253.93.251:6429$河北联通
CCTV风云剧场,http://121.29.215.105:2083/rtp/239.253.93.251:6429$河北联通
CCTV怀旧剧场,http://60.4.30.177:8077/rtp/239.253.93.252:6430$河北联通
CCTV怀旧剧场,http://121.29.215.105:2083/rtp/239.253.93.252:6430$河北联通
CCTV风云音乐,http://60.4.30.177:8077/rtp/239.253.93.253:6431$河北联通
CCTV风云音乐,http://121.29.215.105:2083/rtp/239.253.93.253:6431$河北联通
CCTV风云足球,http://60.4.30.177:8077/rtp/239.253.93.254:6432$河北联通
CCTV风云足球,http://121.29.215.105:2083/rtp/239.253.93.254:6432$河北联通
CCTV高尔夫网球,http://60.4.30.177:8077/rtp/239.253.93.122:6465$河北联通
CCTV高尔夫网球,http://121.29.215.105:2083/rtp/239.253.93.122:6465$河北联通
CCTV央视文化精品,http://60.4.30.177:8077/rtp/239.253.93.175:6439$河北联通
CCTV央视文化精品,http://121.29.215.105:2083/rtp/239.253.93.175:6439$河北联通
CCTV央视台球,http://60.4.30.177:8077/rtp/239.253.93.231:6409$河北联通
CCTV央视台球,http://121.29.215.105:2083/rtp/239.253.93.231:6409$河北联通
CCTV兵器科技,http://60.4.30.177:8077/rtp/239.253.93.47:6435$河北联通
CCTV兵器科技,http://121.29.215.105:2083/rtp/239.253.93.47:6435$河北联通
CCTV世界地理,http://60.4.30.177:8077/rtp/239.253.92.131:6113$河北联通
CCTV世界地理,http://121.29.215.105:2083/rtp/239.253.92.131:6113$河北联通
CCTV女性时尚,http://60.4.30.177:8077/rtp/239.253.92.144:6114$河北联通
CCTV女性时尚,http://121.29.215.105:2083/rtp/239.253.92.144:6114$河北联通
CETV1,http://60.4.30.177:8077/rtp/239.253.92.211:6069$河北联通
CETV1,http://121.29.215.105:2083/rtp/239.253.92.211:6069$河北联通
CETV2,http://60.4.30.177:8077/rtp/239.253.92.108:6136$河北联通
CETV2,http://121.29.215.105:2083/rtp/239.253.92.108:6136$河北联通
CETV4,http://60.4.30.177:8077/rtp/239.253.92.200:6137$河北联通
CETV4,http://121.29.215.105:2083/rtp/239.253.92.200:6137$河北联通
